Vraag	Hulp	Antwoord
Wanneer werk ik?	I work every day.	Ik werk elke dag.
Hoe komen jullie naar school?	You come to school by bike.	Jullie komen met de fiets naar school.
Hoe gaan de kinderen naar school?	The children cycle to school.	De kinderen fietsen naar school.
Waar fietsen zij?	They cycle in the park.	Zij fietsen in het park.
Hoe gaan de kinderen naar school?	The children go to school by bike.	De kinderen gaan naar school met de fiets.
Hoe reizen de kinderen?	The children travel by bike.	De kinderen reizen met de fiets.
Waar zijn de cursisten?	The students are in the classroom.	De cursisten zijn in de klas.
Naar wie luisteren de cursisten?	The students listen to the teacher.	De cursisten luisteren naar de leerkracht.
Waar leren de cursisten?	The students are learning in the classroom.	De cursisten leren in de klas.
Naar wie luisteren de kinderen?	The children listen to the teacher.	De kinderen luisteren naar de leerkracht.
Naar wie kijken de kinderen?	The children are looking at the teacher.	De kinderen kijken naar de leerkracht.
Wat leren de kinderen?	The children are learning Dutch.	De kinderen leren Nederlands.
Waar werken de cursisten?	The students are working in the classroom.	De cursisten werken in de klas.
Wat leren zij?	They are learning Dutch.	Zij leren Nederlands.
Wat leest zij?	She is reading the book.	Zij leest het boek.
Waar leest het meisje het boek?	The girl is reading the book in her bed.	Het meisje leest het boek in haar bed.
Wie leest een boek in bed?	My daughter is reading a book in bed.	Mijn dochter leest een boek in bed.
Waar schrijft zij?	She is writing in the book.	Zij schrijft in het boek.
Wat schrijft Anna?	Anna is writing a letter.	Anna schrijft een brief.
Wat heeft het meisje?	The girl has an apple.	Het meisje heeft een appel.
Wat eet het kind?	The child is eating an apple.	Het kind eet een appel.
Wat eet zij?	She is eating her apple.	Zij eet haar appel.
Wat eet het kind?	The child is eating an apple.	Het kind eet een appel.
Wat eet ik?	I am eating an apple.	Ik eet een appel.
Waar kijkt de man naar?	The man is looking at the computer.	De man kijkt naar de PC.
Wat drinkt de cursist?	The student is drinking a black coffee and reading an article.	De cursist drinkt een zwarte koffie en leest een artikel.
Waar drinkt de man een koffie?	The man is drinking a coffee in a restaurant.	De man drinkt een koffie in een restaurant.
Waarmee werkt de man?	The man is working on his laptop.	De man werkt met zijn laptop.
Waar is de man?	The man is in his office.	De man is in zijn bureau.
Wat schrijft de man?	The man is writing a book.	De man schrijft een boek.
Wat leest de man?	The man is reading his emails.	De man leest zijn mails.
Hoe gaan jullie naar het werk?	You are walking to work.	Jullie gaan te voet naar het werk.
Waar wandelen zij?	They are walking in the park.	Zij wandelen in het park.
Wie wandelen naar school?	Three girls are walking to school.	3 meisjes wandelen naar school.
Waar spreken en wandelen de meisjes?	The girls are talking and walking in the woods.	De meisjes spreken en wandelen in het bos.
Van wie is de kroon?	'It''s your crown.'	Het is jouw kroon.
Van wie is de hond?	'It''s his dog.'	Het is zijn hond.
Van wie is de kip?	'It''s her chicken.'	Het is haar kip.
Van wie is het boek?	'It''s our book.'	Het is ons boek.
Van wie is des jas?	'It''s our jacket.'	Het is onze boek.
Van wie is de kat?	'It''s their cat.'	Het is hun kat.
Wat voor weer is het?	The weather is nice!	Het is mooi weer!
Wat voor weer is het?	'It''s sunny. / The sun is shining.'	Het is zonnig. / De zon schijnt.
Wat voor weer is het?	'It''s cloudy.'	Het is bewolkt.
Wat voor weer is het?	'It''s raining.'	Het regent.
Wat voor weer is het?	'It''s freezing.'	Het vriest.
Wat voor weer is het?	'It''s (very) cold.'	Het is (heel) koud.
Wat voor weer is het?	'It''s (very) warm.'	Het is (heel) warm.
